voice,dtw,duration,zcr,wer,cer,label
8,6.6664,6.048,0.0107,0.5263,0.1333,Bad
9,6.5931,7.648,0.0486,0.7143,0.1758,Bad
10,6.6583,3.296,0.0181,0.4,0.1176,Bad
11,6.5799,5.312,0.0338,0.5385,0.1395,Bad
12,7.117,0.544,0.028,1.0,0.2917,Bad
13,6.8469,3.104,0.0223,0.4,0.1758,Bad
14,6.4461,7.584,0.0574,0.5,0.1373,Bad
15,6.3276,4.32,0.0386,0.4762,0.1449,Bad
16,7.3414,1.184,0.0835,0.75,0.28,Bad
17,6.6811,5.952,0.0568,0.6667,0.2393,Bad
18,6.5783,1.728,0.0759,1.2,0.3684,Bad
19,6.6529,2.24,0.0307,0.2727,0.1096,Bad
20,6.5443,1.824,0.0154,0.8333,0.2121,Bad
21,6.4754,4.576,0.0688,0.3333,0.1099,Bad
22,6.2606,3.296,0.0205,0.5,0.1829,Bad
23,6.5637,1.408,0.0409,0.5,0.2222,Bad
24,6.7893,1.344,0.0217,0.4286,0.1778,Bad
25,6.8014,3.36,0.0091,0.4,0.1458,Bad
26,6.3004,1.312,0.042,0.8,0.2333,Bad
27,6.2388,1.952,0.0081,0.5,0.2,Bad
28,6.5454,4.48,0.0225,0.3333,0.1184,Bad
29,6.5015,5.28,0.0312,0.5,0.1429,Bad
30,6.3659,5.248,0.0221,0.5,0.15,Bad
31,6.9293,8.8,0.0042,0.5625,0.1818,Bad
32,7.193,4.992,0.041,0.625,0.1,Bad
33,6.6893,8.544,0.0257,0.75,0.1881,Bad
34,6.4938,1.12,0.0481,0.3333,0.125,Bad
35,6.8275,4.512,0.0578,0.5556,0.1311,Bad
36,6.7306,12.192,0.0327,0.4667,0.0522,Bad
37,6.9553,8.672,0.0252,0.4167,0.1067,Bad
8,6.4136,1.28,0.0138,0.2105,0.0667,Good
9,6.2717,2.336,0.0241,0.4286,0.0769,Good
10,6.2246,0.48,0.013,0.6,0.1373,Good
11,6.2401,0.384,0.0237,0.5385,0.1047,Good
12,5.8352,0.288,0.0582,0.75,0.1667,Good
13,6.283,1.44,0.0406,0.2667,0.0769,Good
14,6.4012,1.248,0.0155,0.5,0.0882,Good
15,6.1688,0.416,0.0083,0.1429,0.029,Good
16,5.9789,0.896,0.0505,0.5,0.24,Good
17,6.3467,1.184,0.0086,0.4444,0.0855,Good
18,6.3993,0.416,0.0343,0.4,0.0526,Good
19,6.3088,0.768,0.0464,0.3636,0.0959,Good
20,6.4236,1.184,0.0638,0.8333,0.1818,Good
21,6.3162,1.024,0.0837,0.1667,0.033,Good
22,5.9579,0.352,0.0269,0.5,0.122,Good
23,6.2697,0.096,0.0141,0.5,0.0556,Good
24,6.0197,0.064,0.0581,0.4286,0.0889,Good
25,6.1962,0.096,0.0264,0.7,0.1458,Good
26,6.2013,0.32,0.0562,0.8,0.3,Good
27,6.3637,0.448,0.0192,0.375,0.0857,Good
28,6.3466,0.48,0.0105,0.0667,0.0132,Good
29,6.038,0.32,0.0174,0.3571,0.1122,Good
30,6.4459,1.344,0.0193,0.5,0.0667,Good
31,6.342,0.256,0.0098,0.1875,0.0707,Good
32,6.3742,0.096,0.0048,0.25,0.04,Good
33,6.278,2.112,0.0313,0.5,0.1287,Good
34,6.0625,0.544,0.0027,0.3333,0.0625,Good
35,6.1471,0.256,0.0191,0.3333,0.0984,Good
36,5.995,2.624,0.0019,0.1333,0.0075,Good
37,6.3269,1.184,0.0242,0.25,0.04,Good
